Code,ScientificName,GuidePart,DefaultPin
ACAU,Aplysina cauliformis,1,1
AFUL,Aplysina fulva,2,2
CDEL,Cliona delitrix,1,3
MLAE,Mycale laevis,1,4
CPLI,Callyspongia plicifera,1,5
ACRA,Aiolochroia crassa,2,6
ACOM,Amphimedon compressa,2,7
XMUT,Xestospongia muta,2,8
ACLA,Agelas clathrodes,3,
ACON,Agelas conifera,3,
AARC,Aplysina archeri,3,
AFIS,Aplysina fistularis,3,
AINS,Aplysina insularis,3,
CFAL,Callyspongia fallax,3,
CVAG,Callyspongia vaginalis,3,
CCAR,Chondrilla caribensis,3,
DANC,Desmapsamma anchorata,3,
EFER,Ectyoplasia ferox,3,
HCAE,Halisarca caerulea,3,
IBIR,Iotrochota birotulata,3,
IFEL,Ircinia felix,3,
ISTR,Ircinia strobilina,3,
MARB,Monanchora arbuscula,3,
MLAX,Mycale laxissima,3,
NNOL,Neofibularia nolitangere,3,
NPRO,Neopetrosia proxima,3,
NDIG,Niphates digitalis,3,
NERE,Niphates erecta,3,
OBAR,Oceanapia bartschi,3,
PANG,Plakortis angulospiculatus,3,
SRUE,Scopalina ruetzleri,3,
SXAM,Siphonodictyon xamaycaense,3,
SAUR,Smenospongia aurea,3,
SCOC,Spirastrella coccinea,3,
SHAR,Spirastrella hartmani,3,
SZEA,Svenzea zeai,3,
VRIG,Verongula rigida,3,
UNKN,Unknown sponge,,
